Timestamp ET,Game Time ET,Game Date ET,Matchup,Market,Selection,Odds,Handle %,Bets %,Flag,Diff
2026-01-06 06:22:08 ET,2026-01-11 08:00PM ET,2026-01-11,LA Chargers @ NE Patriots,Moneyline,NE Patriots,-192,79%,81%,1,2%
2026-01-06 06:22:08 ET,2026-01-11 01:00PM ET,2026-01-11,BUF Bills @ JAX Jaguars,Total,Over 51.5,-112,74%,78%,1,4%
2026-01-06 06:22:08 ET,2026-01-10 08:00PM ET,2026-01-10,GB Packers @ CHI Bears,Spread,CHI Bears -1.5,+100,72%,73%,1,1%
2026-01-06 06:22:08 ET,2026-01-10 08:00PM ET,2026-01-10,GB Packers @ CHI Bears,Moneyline,CHI Bears,-112,72%,69%,1,3%
2026-01-06 06:22:08 ET,2026-01-11 08:00PM ET,2026-01-11,LA Chargers @ NE Patriots,Spread,NE Patriots -3.5,-108,66%,69%,1,3%
2026-01-06 06:22:08 ET,2026-01-10 04:30PM ET,2026-01-10,LA Rams @ CAR Panthers,Total,Over 46.5,-112,70%,68%,1,2%
2026-01-06 06:22:08 ET,2026-01-11 04:30PM ET,2026-01-11,SF 49ers @ PHI Eagles,Spread,SF 49ers +4.5,-112,38%,66%,1,28%
2026-01-06 06:22:08 ET,2026-01-10 04:30PM ET,2026-01-10,LA Rams @ CAR Panthers,Moneyline,LA Rams,-600,64%,81%,0,17%
2026-01-06 06:22:08 ET,2026-01-11 08:00PM ET,2026-01-11,LA Chargers @ NE Patriots,Total,Over 46.5,-108,65%,62%,0,3%
2026-01-06 06:22:08 ET,2026-01-10 04:30PM ET,2026-01-10,LA Rams @ CAR Panthers,Spread,CAR Panthers +10,-108,46%,58%,0,12%
2026-01-06 06:22:08 ET,2026-01-10 08:00PM ET,2026-01-10,GB Packers @ CHI Bears,Total,Over 45.5,-110,55%,56%,0,1%
2026-01-06 06:22:08 ET,2026-01-11 01:00PM ET,2026-01-11,BUF Bills @ JAX Jaguars,Spread,JAX Jaguars +1.5,-112,53%,55%,0,2%
2026-01-06 06:22:08 ET,2026-01-11 04:30PM ET,2026-01-11,SF 49ers @ PHI Eagles,Total,Under 44.5,-105,74%,53%,0,21%
2026-01-06 06:22:08 ET,2026-01-11 04:30PM ET,2026-01-11,SF 49ers @ PHI Eagles,Moneyline,SF 49ers,+190,58%,53%,0,5%
2026-01-06 06:22:08 ET,2026-01-11 01:00PM ET,2026-01-11,BUF Bills @ JAX Jaguars,Moneyline,JAX Jaguars,+102,54%,50%,0,4%
2026-01-06 06:22:08 ET,2026-01-11 01:00PM ET,2026-01-11,BUF Bills @ JAX Jaguars,Moneyline,BUF Bills,-122,46%,50%,0,4%
2026-01-06 06:22:08 ET,2026-01-11 04:30PM ET,2026-01-11,SF 49ers @ PHI Eagles,Moneyline,PHI Eagles,-230,42%,47%,0,5%
2026-01-06 06:22:08 ET,2026-01-11 04:30PM ET,2026-01-11,SF 49ers @ PHI Eagles,Total,Over 44.5,-115,26%,47%,0,21%
2026-01-06 06:22:08 ET,2026-01-11 01:00PM ET,2026-01-11,BUF Bills @ JAX Jaguars,Spread,BUF Bills -1.5,-108,47%,45%,0,2%
2026-01-06 06:22:08 ET,2026-01-10 08:00PM ET,2026-01-10,GB Packers @ CHI Bears,Total,Under 45.5,-110,45%,44%,0,1%
2026-01-06 06:22:08 ET,2026-01-10 04:30PM ET,2026-01-10,LA Rams @ CAR Panthers,Spread,LA Rams -10,-112,54%,42%,0,12%
2026-01-06 06:22:08 ET,2026-01-11 08:00PM ET,2026-01-11,LA Chargers @ NE Patriots,Total,Under 46.5,-112,35%,38%,0,3%
2026-01-06 06:22:08 ET,2026-01-11 04:30PM ET,2026-01-11,SF 49ers @ PHI Eagles,Spread,PHI Eagles -4.5,-108,62%,34%,0,28%
2026-01-06 06:22:08 ET,2026-01-10 04:30PM ET,2026-01-10,LA Rams @ CAR Panthers,Total,Under 46.5,-108,30%,32%,0,2%
2026-01-06 06:22:08 ET,2026-01-11 08:00PM ET,2026-01-11,LA Chargers @ NE Patriots,Spread,LA Chargers +3.5,-112,34%,31%,0,3%
2026-01-06 06:22:08 ET,2026-01-10 08:00PM ET,2026-01-10,GB Packers @ CHI Bears,Moneyline,GB Packers,-108,28%,31%,0,3%
2026-01-06 06:22:08 ET,2026-01-10 08:00PM ET,2026-01-10,GB Packers @ CHI Bears,Spread,GB Packers +1.5,-120,28%,27%,0,1%
2026-01-06 06:22:08 ET,2026-01-11 01:00PM ET,2026-01-11,BUF Bills @ JAX Jaguars,Total,Under 51.5,-108,26%,22%,0,4%
2026-01-06 06:22:08 ET,2026-01-10 04:30PM ET,2026-01-10,LA Rams @ CAR Panthers,Moneyline,CAR Panthers,+440,36%,19%,0,17%
2026-01-06 06:22:08 ET,2026-01-11 08:00PM ET,2026-01-11,LA Chargers @ NE Patriots,Moneyline,LA Chargers,+160,21%,19%,0,2%
